id,Kode_Provinsi,Provinsi,Kabupaten_Kota,Jenis_Budidaya_Rumput_Laut,Tahun,Volume_Produksi_Kg,Nilai_Produksi_Rp
190.,19.,KEPULAUAN BANGKA BELITUNG,BELITUNG,RUMPUT LAUT SPINOSUM,2020.,21808.,30531200.
191.,21.,KEPULAUAN RIAU,KARIMUN,RUMPUT LAUT COTTONII,2020.,1650960.,16509600000.
192.,21.,KEPULAUAN RIAU,KEPULAUAN ANAMBAS,RUMPUT LAUT COTTONII,2020.,11811.,118110000.
193.,21.,KEPULAUAN RIAU,KOTA BATAM,RUMPUT LAUT COTTONII,2020.,2406992.,24069920000.
194.,21.,KEPULAUAN RIAU,LINGGA,RUMPUT LAUT COTTONII,2020.,5830.,58300000.
195.,21.,KEPULAUAN RIAU,NATUNA,RUMPUT LAUT COTTONII,2020.,19770.,168880000.
196.,18.,LAMPUNG,LAMPUNG SELATAN,RUMPUT LAUT COTTONII,2020.,5334256.,10668512000.
197.,18.,LAMPUNG,LAMPUNG SELATAN,RUMPUT LAUT SPINOSUM,2020.,5571.,11142000.
198.,81.,MALUKU,KAB MALUKU TENGGARA BARAT,RUMPUT LAUT COTTONII,2020.,52376015.,261880075000.
199.,81.,MALUKU,KEPULAUAN ARU,RUMPUT LAUT COTTONII,2020.,10818225.,23761350000.
200.,81.,MALUKU,KOTA AMBON,RUMPUT LAUT COTTONII,2020.,5000.,25000000.
201.,81.,MALUKU,KOTA TUAL,RUMPUT LAUT COTTONII,2020.,72839000.,364195000000.
202.,81.,MALUKU,MALUKU BARAT DAYA,RUMPUT LAUT COTTONII,2020.,31162506.,34599997800.
203.,81.,MALUKU,MALUKU TENGGARA,RUMPUT LAUT COTTONII,2020.,24156355.,34121463750.
204.,81.,MALUKU,SERAM BAGIAN BARAT,RUMPUT LAUT COTTONII,2020.,47596.,142788000.
205.,81.,MALUKU,SERAM BAGIAN TIMUR,RUMPUT LAUT COTTONII,2020.,34749.,173745000.
206.,81.,MALUKU,SERAM BAGIAN TIMUR,RUMPUT LAUT SPINOSUM,2020.,49724.,248620000.
207.,82.,MALUKU UTARA,HALMAHERA BARAT,RUMPUT LAUT SPINOSUM,2020.,102900.,617400000.
208.,82.,MALUKU UTARA,HALMAHERA SELATAN,RUMPUT LAUT SPINOSUM,2020.,151740.,910440000.
209.,82.,MALUKU UTARA,HALMAHERA TENGAH,RUMPUT LAUT COTTONII,2020.,21000.,126000000.
210.,82.,MALUKU UTARA,HALMAHERA TENGAH,RUMPUT LAUT SPINOSUM,2020.,31050.,186300000.
211.,82.,MALUKU UTARA,HALMAHERA TIMUR,RUMPUT LAUT COTTONII,2020.,619728.,2945898000.
212.,82.,MALUKU UTARA,KEPULAUAN SULA,RUMPUT LAUT SARGASSUM,2020.,56235869.,281548670000.
213.,82.,MALUKU UTARA,KOTA TIDORE KEPULAUAN,RUMPUT LAUT COTTONII,2020.,10548.,42192000.
214.,82.,MALUKU UTARA,PULAU MOROTAI,RUMPUT LAUT SARGASSUM,2020.,5790096.,23160384000.
215.,82.,MALUKU UTARA,PULAU TALIABU,RUMPUT LAUT SARGASSUM,2020.,18592502.,86370012000.
216.,52.,NUSA TENGGARA BARAT,BIMA,RUMPUT LAUT GRACILARIA,2020.,83575850.,125363775000.
217.,52.,NUSA TENGGARA BARAT,DOMPU,RUMPUT LAUT COTTONII,2020.,1824260.,9121300000.
218.,52.,NUSA TENGGARA BARAT,DOMPU,RUMPUT LAUT GRACILARIA,2020.,12000.,30000000.
219.,52.,NUSA TENGGARA BARAT,LOMBOK BARAT,RUMPUT LAUT GRACILARIA,2020.,55483880.,110967760000.
